date,time,frequency,rs,dt
210818,190245,18.100,-13,0.4
210818,190245,18.100,-11,0.4
210818,190245,18.100,-18,0.4
210818,190245,18.100,-18,0.5
210818,190245,18.100,-20,0.2
210818,190245,18.100,-17,0.4
210818,190315,18.100,-14,0.4
210818,190315,18.100,-15,0.4
210818,190315,18.100,-18,0.3
210818,190315,18.100,-16,0.4
210818,190315,18.100,-18,0.4
210818,190315,18.100,-18,0.2
210818,190345,18.100,-11,0.4
210818,190345,18.100,-19,0.8
210818,190345,18.100,-18,0.4
210818,190345,18.100,-17,0.4
210818,190345,18.100,-19,0.4
210818,190345,18.100,-20,0.4
210818,190415,18.100,-14,0.4
210818,190415,18.100,-15,0.4
210818,190415,18.100,-17,0.4
210818,190430,18.100,-19,0.4
210818,190445,18.100,-13,0.4
210818,190445,18.100,-12,0.4
210818,190445,18.100,-19,0.3
210818,190500,18.100,-15,0.4
210818,190515,18.100,-13,0.4
210818,190515,18.100,-21,0.3
210818,190515,18.100,-19,0.4
210818,190545,18.100,-17,0.1
210818,190545,18.100,-16,0.1
210818,190545,18.100,-19,0.8
210818,190600,18.100,-14,0.1
210818,190615,18.100,-19,0.5
210818,190630,18.100,-5,0.1
210818,190645,18.100,-16,0.1
210818,190700,18.100,-4,0.1
210818,190700,18.100,-19,0.1
210818,190715,18.100,-13,0.1
210818,190715,18.100,-15,0.1
210818,190715,18.100,-19,0.1
210818,190730,18.100,-19,-0.2
210818,190745,18.100,-14,0.1
210818,190800,18.100,-13,0.2
210818,190815,18.100,-16,0.1
210818,190815,18.100,-15,0.1
210818,190815,18.100,-17,0.1
210818,190815,18.100,-16,0.5
210818,190815,18.100,-19,0.1
210818,190845,18.100,-16,0.1
210818,190845,18.100,-21,0.1
210818,190845,18.100,-21,0.5
210818,190915,18.100,-5,0.1
210818,190915,18.100,-21,0.2
210818,190915,18.100,-17,0.1
210818,190930,18.100,-2,0.1
210818,190930,18.100,-13,0.1
210818,190945,18.100,-15,0.1
210818,191000,18.100,-13,0.1
210818,191000,18.100,-17,0.1
210818,191000,18.100,-15,0.1
210818,191015,18.100,-5,0.1
210818,191015,18.100,-17,0.5
210818,191030,18.100,-11,0.1
210818,191030,18.100,-16,0.2
210818,191045,18.100,-18,0.2
210818,191100,18.100,-13,0.1
210818,191115,18.100,-9,0.1
210818,191115,18.100,-15,0.5
210818,191130,18.100,-9,0.1
210818,191130,18.100,-19,0.1
210818,191145,18.100,-11,0.1
210818,191145,18.100,-16,0.1
210818,191145,18.100,-17,0.5
210818,191200,18.100,-18,0.1
210818,191215,18.100,-10,0.1
210818,191215,18.100,-18,-0.2
210818,191230,18.100,-18,0.1
210818,191245,18.100,-14,0.1
210818,191245,18.100,-19,0.5
210818,191300,18.100,-20,0.2
210818,191315,18.100,-7,0.1
210818,191315,18.100,-17,-0.2
210818,191345,18.100,-13,0.1
210818,191345,18.100,-17,0.1
210818,191400,18.100,-13,0.1
210818,191400,18.100,-17,0.1
210818,191430,18.100,-13,0.1
210818,191445,18.100,-13,0.5
210818,191500,18.100,-16,0.1
210818,191500,18.100,-18,0.1
