date,time,frequency,rs,dt
210519,214030,2.223,2,0.2
210519,214030,2.223,-4,-0.3
210519,214030,2.223,-5,0.5
210519,214030,2.223,-4,0.2
210519,214030,2.223,-15,0.4
210519,214030,2.223,-12,0.3
210519,214030,2.223,-7,0.5
210519,214030,2.223,-14,0.5
210519,214030,2.223,-16,0.3
210519,214030,2.223,-10,0.2
210519,214030,2.223,-16,0.5
210519,214030,2.223,-18,0.2
210513,002215,7.075,13,0.5
210513,002245,7.075,7,0.6
210513,002245,7.075,-2,0.5
210513,002245,7.075,13,0.7
210513,002245,7.075,-1,0.5
210513,002245,7.075,-6,1.5
210513,002245,7.075,-12,0.6
210513,002245,7.075,-5,0.3
210513,002245,7.075,-6,0.6
210513,002245,7.075,-7,0.7
210513,002245,7.075,-8,0.5
210513,002245,7.075,-13,0.5
210513,002245,7.075,-11,0.9
210513,002245,7.075,-3,2.1
210513,002245,7.075,-12,0.7
210513,002245,7.075,-6,0.3
210513,002245,7.075,-15,0.6
210513,002245,7.075,-18,0.4
210513,002245,7.075,-13,0.6
210513,002245,7.075,-19,0.7
210513,002245,7.075,-18,0.5
210513,002245,7.075,-11,0.6
210513,002245,7.075,-24,1.5
210513,002245,7.075,-22,0.6
210513,002245,7.075,-17,0.3
210513,002245,7.075,-17,0.5
210430,165230,8.456,-1,-0.8
210430,165230,8.456,-14,-0.4
210430,165230,8.456,-15,-1.0
210430,165230,8.456,-13,-1.4
210430,165230,8.456,-10,-0.6
210430,165230,8.456,-4,-0.6
210430,165230,8.456,-20,-0.7
210430,165230,8.456,-8,-0.5
210514,221452,10.140,-14,0.1
210514,221530,10.140,-16,0.1
210514,221607,10.140,-13,0.1
210514,221622,10.140,-12,0.1
210514,221737,10.140,-16,0.1
210514,221752,10.140,-16,0.1
210514,221822,10.140,-13,0.1
210514,221907,10.140,-16,0.1
210514,221922,10.140,0,0.1
210514,221922,10.140,-14,0.1
210514,221922,10.140,-7,0.1
210514,221937,10.140,-1,0.1
210514,221937,10.140,-16,0.1
210514,221937,10.140,3,0.1
210514,221952,10.140,2,0.1
210514,222007,10.140,-10,0.1
210514,222007,10.140,5,0.1
210514,222022,10.140,-8,0.1
210514,222022,10.140,5,0.1
210514,222037,10.140,-7,0.1
210514,222052,10.140,-8,0.1
210514,222107,10.140,-3,0.1
210514,222122,10.140,-4,0.1
210514,222137,10.140,-9,0.1
210514,222152,10.140,-4,0.1
210517,224152,10.140,-6,0.2
210517,224207,10.140,-11,0.2
210517,224437,10.140,12,0.7
210517,224452,10.140,13,0.7
210517,224507,10.140,13,0.7
210517,224707,10.140,-11,0.2
210517,224722,10.140,-10,0.2
210517,224745,10.140,14,0.7
210517,224752,10.140,-9,0.2
210517,224800,10.140,11,0.7
210518,225807,10.140,-14,0.1
210518,225822,10.140,-13,0.1
210518,225852,10.140,-2,0.1
210518,225907,10.140,2,0.1
210518,225922,10.140,3,0.1
210518,225937,10.140,0,0.1
210518,230022,10.140,-9,0.1
210518,230037,10.140,-11,0.2
210715,194830,10.140,0,-0.2
210715,194830,10.140,-5,0.0
210715,194830,10.140,-17,-0.1
210422,180100,14.070,-6,0.1
210422,180100,14.070,11,-0.9
210422,180100,14.070,0,0.4
210422,180100,14.070,-7,0.4
210422,180130,14.071,-3,0.4
210422,180130,14.071,-11,0.3
210422,180130,14.071,-12,0.2
210427,205845,14.071,7,0.8
210427,205845,14.071,8,0.7
210427,205845,14.071,-3,0.6
210809,182745,14.076,-1,0.5
210809,182745,14.076,-6,0.4
210809,182745,14.076,-18,0.4
210809,182800,14.076,0,0.4
210809,182800,14.076,-5,0.6
210809,182800,14.076,3,0.3
210809,182800,14.076,-13,0.4
210809,182800,14.076,3,0.2
210830,181800,14.076,-1,0.6
210830,181800,14.076,8,-0.1
210830,181800,14.076,-5,0.0
210830,181800,14.076,-8,-0.1
210830,181800,14.076,-4,0.0
210830,181800,14.076,-13,0.0
210830,181800,14.076,-14,-0.1
210830,181800,14.076,-12,-0.5
210830,181800,14.076,-9,-0.1
210830,181830,14.076,1,0.6
210830,181830,14.076,-1,0.0
210830,181830,14.076,-15,-0.1
210422,212430,15.000,-17,0.9
210422,212430,15.000,-14,1.3
210422,212430,15.000,-24,0.8
210513,184345,15.000,-17,-0.8
210423,170130,17.040,-21,0.2
210503,224915,18.127,0,0.2
210503,224915,18.139,9,-0.1
210503,224915,18.139,-20,0.0
210503,224915,18.139,-7,0.2
210503,224915,18.139,-11,0.0
210423,164115,21.073,-4,0.3
210423,164115,21.073,-6,0.2
210423,164115,21.073,-10,0.1
210423,164115,21.073,-9,0.2
210423,164115,21.073,-11,0.2
210423,164115,21.073,-15,1.3
210423,164115,21.073,-14,0.2
210423,165415,21.075,0,0.2
210423,165415,21.075,-1,0.1
210423,165415,21.075,-11,0.2
210423,165415,21.075,-12,0.2
210423,165430,21.075,-9,0.2
210423,165430,21.075,-7,-0.2
210423,165430,21.075,-3,0.2
210423,165430,21.075,3,1.2
210423,165430,21.075,-10,1.4
210423,165430,21.075,-11,0.2
210423,165430,21.075,-16,0.1
210423,165430,21.075,-13,1.3
210423,165430,21.075,-16,0.2
210423,165430,21.075,-14,0.2
210423,165445,21.075,3,0.1
210423,165445,21.075,5,0.2
210423,165445,21.075,-8,0.2
210423,165445,21.075,-13,0.3
210423,165445,21.075,-18,0.4
210423,165500,21.075,1,0.8
210423,165500,21.075,-10,0.4
210423,165500,21.075,-7,0.9
210423,165500,21.075,-9,0.2
210423,165500,21.075,-13,0.2
210423,165500,21.075,-18,0.1
210423,165500,21.075,-14,0.2
210423,165500,21.075,-14,1.0
210423,165500,21.075,-14,1.3
210428,160915,21.122,-15,0.6
210428,160915,21.122,-19,0.1
210519,201515,21.140,-18,-0.7
210614,160737,21.140,0,0.0
210614,160752,21.140,-4,0.0
210623,225845,21.140,2,0.3
210720,180030,21.140,-17,0.4
210803,192907,21.140,-11,-0.6
210602,212745,50.318,1,0.0
210602,212745,50.318,-6,0.3
210602,212745,50.318,-8,0.1
210602,212745,50.318,-12,0.2
210602,212745,50.318,-10,0.0
210720,165445,50.323,18,0.8
210818,180730,50.323,-7,0.0
210818,180800,50.323,-9,0.0
210818,180830,50.323,-7,0.0
210422,210415,14.074,-11,0.9
210819,234600,14.074,-16,0.6
210713,222215,14.074,2,0.1
210908,162045,14.074,-15,0.8
210827,202030,14.074,-13,0.1
211005,195500,14.074,-18,-0.5
210628,201730,14.074,-5,0.2
210915,195630,14.074,5,-0.9
210422,211715,14.074,-15,0.8
210519,171845,14.074,-7,0.8
210713,223945,14.074,-6,0.0
210607,195145,14.074,-5,0.6
211005,214130,14.074,15,-0.3
210628,173915,14.074,-24,0.3
210607,155645,14.074,-4,-0.6
211006,000800,14.074,-13,0.5
210422,184345,14.074,-12,0.1
210610,200845,14.074,2,-0.5
210422,230800,14.074,9,0.3
210607,173300,14.074,12,0.0
210713,225045,14.074,-16,-0.1
210713,215430,14.074,-6,0.6
210910,205945,14.074,5,0.0
210713,203400,14.074,-11,0.5
210603,205130,14.074,-9,0.0
210422,170630,14.074,-6,0.6
211006,131515,14.074,-4,0.5
210819,221000,14.074,-13,0.0
210422,210300,14.074,-8,1.3
210628,195515,14.074,-13,0.1
210610,203200,14.074,-4,-0.4
210607,165330,14.074,-21,0.2
210809,201630,14.074,-12,-0.4
211006,030615,14.074,-7,-0.3
211005,224215,14.074,-4,-0.3
211006,011445,14.074,-14,-0.3
210809,221345,14.074,-9,0.1
210819,181415,14.074,-3,-0.2
211006,015345,14.074,-19,0.0
210819,203715,14.074,-14,0.3
210519,164715,14.074,-13,0.8
210722,213400,14.074,-9,0.0
210628,214030,14.074,17,-0.1
210908,155030,14.074,-18,-0.9
211006,012230,14.074,-4,-0.4
210819,220000,14.074,-20,0.2
210908,183430,14.074,-1,0.0
210831,202645,14.074,6,0.2
210422,201745,14.074,2,1.2
211005,231115,14.074,-7,-0.3
211005,213400,14.074,-7,-0.2
210507,183945,14.074,-12,0.3
210628,203445,14.074,-21,0.1
210830,180800,14.074,-10,0.0
210422,205845,14.074,-1,0.8
210628,182215,14.074,-14,1.6
210609,224430,14.074,-14,0.4
