date,time,freq,rs,dt,lat,long
211007,62215,3.573,1,-0.1,0,0
211007,115930,3.573,-14,-0.2,45.5,-87
211007,42830,3.573,20,-0.1,0,0
211007,112330,3.573,-17,0,0,0
211007,94530,3.573,-5,0.2,0,0
211007,124315,3.573,0,0.1,0,0
211007,113215,3.573,-13,0,0,0
211007,100015,3.573,-13,0.2,35.5,-79
211007,123200,3.573,-18,0.1,35.5,139
211007,112030,3.573,1,0.5,41.5,-105
211007,54815,3.573,0,0.1,0,0
211007,42730,3.573,11,0,0,0
211007,71715,3.573,-1,0.2,0,0
211007,45800,3.573,18,0,0,0
211007,64330,3.573,-16,0.5,0,0
211007,103245,3.573,3,0.1,83.5,175
211007,113830,3.573,-6,0.1,42.5,-89
211007,43400,3.573,-5,0,0,0
211007,110245,3.573,-5,1.4,30.5,-89
211007,101500,3.573,-19,0.1,36.5,-85
211007,40100,3.573,-7,0.3,0,0
211007,35245,3.573,18,0.1,0,0
211007,52015,3.573,0,-0.1,0,0
211007,102300,3.573,-8,0.2,0,0
211007,125545,3.573,-16,0,0,0
211007,100545,3.573,4,0.2,53.5,-167
211007,80700,3.573,-14,0.1,0,0
211007,54300,3.573,5,0,0,0
211007,85730,3.573,7,0.1,0,0
211007,83415,3.573,-19,0.3,0,0
211007,115530,3.573,19,0.1,39.5,-119
211007,111715,3.573,-16,-0.1,41.5,141
211007,82100,3.573,-12,0.3,0,0
211007,105045,3.573,-10,0.1,0,0
211007,42145,3.573,9,0.1,0,0
211007,112745,3.573,-11,0,0,0
211007,104315,3.573,-4,0.1,0,0
211007,72845,3.573,9,0.1,0,0
211007,43930,3.573,-20,0.1,0,0
211007,42645,3.573,8,0.1,0,0
211007,94200,3.573,-14,-0.2,0,0
211007,54045,3.573,-1,0.1,0,0
211007,123330,3.573,-19,0.1,35.5,139
211007,45615,3.573,-16,0.3,0,0
211007,93900,3.573,-8,0.4,0,0
211007,123600,3.573,10,0,0,0
211007,114615,3.573,5,0,0,0
211007,44630,3.573,-3,0,0,0
211007,61000,3.573,-24,0.4,0,0
211007,123230,3.573,-22,0.1,35.5,139
211007,100915,3.573,-6,0,0,0
211007,121115,3.573,-22,0.1,83.5,175
211007,113515,3.573,-12,-0.1,49.5,-123
211007,44615,3.573,-6,0.3,0,0
211007,100730,3.573,-19,0,0,0
211007,95345,3.573,3,0.2,0,0
211007,124500,3.573,12,0.2,0,0
211007,112045,3.573,-10,0.3,83.5,175
211007,95300,3.573,-7,0.1,0,0
211007,64130,3.573,-9,-0.2,0,0
211007,54445,3.573,-15,0,0,0
211007,130330,3.573,-17,0,0,0
211007,130530,3.573,22,-0.1,0,0
211007,63845,3.573,-10,0.1,0,0
211007,90045,3.573,-7,0.1,0,0
211007,41430,3.573,-2,0.3,0,0
211007,102015,3.573,-8,0.1,39.5,-87
211007,102245,3.573,-7,0.1,37.5,-85
211007,74200,3.573,-9,0.1,0,0
211007,54745,3.573,-16,0.2,0,0
211007,10045,3.573,-11,0.1,0,0
